Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
1000.0,prompt_1,p7_quicksort,7.8e-06,0.0673315766818181,0.1624107,0.0590951187341286,13.937628223992023
10000.0,prompt_1,p7_quicksort,0.0012904,0.9231457339999996,7.7547467,0.8596426573972603,7.387148143044399
100000.0,prompt_1,p7_quicksort,5.1977286,5.40782755,5.6510891,3.1827164505712013,69.91232596386206
1000.0,prompt_2,p7_quicksort,7.7e-06,0.0776802734390243,0.1996578,0.0590951187341286,31.449559799534516
10000.0,prompt_2,p7_quicksort,0.0013017,1.0117216208658533,2.8928713,0.8596426573972603,17.690951252819673
100000.0,prompt_2,p7_quicksort,5.2805275,5.615700483333334,6.1806477,3.1827164505712013,76.44363142451742
1000.0,prompt_3,p7_quicksort,7.6e-06,0.073946945616279,0.1516688,0.0590951187341286,25.132070465869415
10000.0,prompt_3,p7_quicksort,0.0012393,0.946840972988372,1.4825496,0.8596426573972603,10.143553817480624
100000.0,prompt_3,p7_quicksort,5.140853,5.311286905499999,5.749864,3.1827164505712013,66.87904775641525
1000.0,prompt_4,p7_quicksort,8e-06,0.0645846162567567,0.1150488,0.0590951187341286,9.289257116692792
10000.0,prompt_4,p7_quicksort,0.0013263,0.8596426573972603,1.2499479,0.8596426573972603,0.0
100000.0,prompt_4,p7_quicksort,5.1095531,5.235320557666666,5.8221234,3.1827164505712013,64.4922078034028
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
,,p7_quicksort,,,,,
1000.0,prompt_5,p7_quicksort,7.599999662488699e-06,0.0590951187341286,1.0716758999988087,0.0590951187341286,0.0
10000.0,prompt_5,p7_quicksort,1.2900000001536682e-05,1.0752504883896503,11.098864200001117,0.8596426573972603,25.08109958679642
100000.0,prompt_5,p7_quicksort,1.2799999240087344e-05,3.859000158500024,5.283714400000463,3.1827164505712013,21.24863205477982
1000.0,prompt_6,p7_quicksort,6.599992047995329e-06,0.0682924358665101,0.1407195999927353,0.0590951187341286,15.563581780350777
10000.0,prompt_6,p7_quicksort,6.600006599910557e-06,0.9004963921332927,1.5019766999903368,0.8596426573972603,4.752408967201001
100000.0,prompt_6,p7_quicksort,6.699992809444666e-06,3.1827164505712013,6.055702999990899,3.1827164505712013,0.0
